,year,Age,Count
0,2024,3,12
1,2024,4,39
2,2024,5,40
3,2024,6,65
4,2024,7,62
5,2024,8,55
6,2024,9,60
7,2024,10,63
8,2024,11,53
9,2024,12,48
10,2024,13,45
11,2024,14,57
12,2024,15,37
13,2024,16,34
14,2024,17,39
15,2024,18,35
16,2024,19,29
17,2024,20,39
18,2024,21,48
19,2024,22,45
20,2024,23,69
21,2024,24,67
22,2024,25,72
23,2024,26,85
24,2024,27,104
25,2024,28,113
26,2024,29,98
27,2024,30,119
28,2024,31,112
29,2024,32,101
30,2024,33,104
31,2024,34,96
32,2024,35,100
33,2024,36,97
34,2024,37,99
35,2024,38,69
36,2024,39,82
37,2024,40,70
38,2024,41,89
39,2024,42,67
40,2024,43,56
41,2024,44,74
42,2024,45,53
43,2024,46,49
44,2024,47,50
45,2024,48,42
46,2024,49,33
47,2024,50,30
48,2024,51,32
49,2024,52,21
50,2024,53,14
51,2024,54,19
52,2024,55,11
53,2024,56,8
54,2024,57,10
55,2024,58,11
56,2024,59,2
57,2024,60,2
58,2024,61,7
59,2024,62,5
60,2024,63,8
61,2024,64,4
62,2024,65,2
63,2024,66,1
64,2024,67,1
65,2024,68,1
66,2024,69,2
67,2024,70,2
68,2024,71,1
69,2024,73,1
70,2024,75,1
71,2025,3,1
72,2025,4,2
73,2025,5,3
74,2025,6,4
75,2025,7,7
76,2025,8,6
77,2025,9,4
78,2025,10,3
79,2025,11,2
80,2025,12,6
81,2025,13,4
82,2025,14,1
83,2025,15,8
84,2025,16,5
85,2025,17,5
86,2025,18,8
87,2025,19,16
88,2025,20,29
89,2025,21,46
90,2025,22,48
91,2025,23,55
92,2025,24,44
93,2025,25,84
94,2025,26,84
95,2025,27,73
96,2025,28,100
97,2025,29,92
98,2025,30,90
99,2025,31,102
100,2025,32,90
101,2025,33,86
102,2025,34,96
103,2025,35,91
104,2025,36,103
105,2025,37,79
106,2025,38,82
107,2025,39,67
108,2025,40,84
109,2025,41,69
110,2025,42,54
111,2025,43,60
112,2025,44,45
113,2025,45,54
114,2025,46,42
115,2025,47,51
116,2025,48,46
117,2025,49,39
118,2025,50,33
119,2025,51,46
120,2025,52,40
121,2025,53,28
122,2025,54,30
123,2025,55,25
124,2025,56,23
125,2025,57,11
126,2025,58,9
127,2025,59,18
128,2025,60,8
129,2025,61,9
130,2025,62,9
131,2025,63,14
132,2025,64,2
133,2025,65,4
134,2025,66,3
135,2025,67,2
136,2025,68,1
137,2025,69,3
138,2025,70,2
139,2025,71,2
140,2025,72,1
141,2025,73,1
