,Birth Year,count
0,31,292
1,28,290
2,30,289
3,29,268
4,33,264
5,35,259
6,36,257
7,32,256
8,34,251
9,26,234
10,37,233
11,25,231
12,27,230
13,38,219
14,41,201
15,40,200
16,39,183
17,24,164
18,23,163
19,42,162
20,43,146
21,44,146
22,45,136
23,7,135
24,6,132
25,21,130
26,47,125
27,22,125
28,46,115
29,14,112
30,9,111
31,8,110
32,11,109
33,10,108
34,5,107
35,48,107
36,20,99
37,12,96
38,13,96
39,51,91
40,4,88
41,49,86
42,15,82
43,17,79
44,50,78
45,52,76
46,19,66
47,16,66
48,18,64
49,53,58
50,54,57
51,55,44
52,3,39
53,56,36
54,57,29
55,59,26
56,58,25
57,63,25
58,61,18
59,62,16
60,60,15
61,65,8
62,64,8
63,67,5
64,66,5
65,69,5
66,70,4
67,71,4
68,68,3
69,73,2
70,72,1
71,75,1
